Identifier,Place of Publication,Date of Publication,Publisher,Title,Author
284037,Bruges,1857,,Histoire du Château et des Seigneurs d'Esquelbecq en Flandre,"BERGEROT, Alphonse - and DIEGERICK (Isidore Lucien Antoine)"
284768,Leipzig,1807,,"Schilderung und Abbildung der merkwürdigsten russischen Völkerschaften, welche in dem jetzigen Kriege gegen Frankreich Kämpfen ... dargestellt von J. A. Bergk und C. G. H. Geissler. Mit ... illuminirten Kupfern. [The text by Bergk, the plates by Geissler.]","BERGK, Johann Adam."
284936,Upsaliae,1842,,"De arce Wisbyensi anno 1676 a Danis expugnata atque paullo post funditus excisa dissertatio, etc. Praes. J. H. Schröder. [With “Kort Relation om Gottlandz öfwergång A:o 1676: d: 1: Maij till the Danske och hwad som derwjdh passerat,” printed from a MS. in the Palmsköld collection in the Upsala University Library.]","BERGMAN, Carl Johan - of Visby"
286981,London,1857,Longman & Co.,A Month in the Forests of France. [With illustrations by John Leech.],"Berkeley, Grantley F. (Grantley Fitzhardinge)"
286983,London,1839,Ridgway,"A Pamphlet, dedicated to the Noblemen, Gentlemen and Sportsmen, of England, Ireland, and Scotland ... in reply to a prize essay by the Rev. John Styles, D.D., on the claims of the animal creation to the humanity of man","Berkeley, Grantley F. (Grantley Fitzhardinge)"
287815,Leipzig,1861,,Die Alpen in Natur- und Lebensbildern Mit 16 Illustrationen ... nach Originalzeichnungen von Emil Rittmeyer,"BERLEPSCH, Hermann Alexander von."
287817,London,1861,Longman & Co.,"The Alps; or, Sketches of life and nature in the mountains ... Translated by ... Leslie Stephen. With 17 plates from designs by Emil Rittmeyer","BERLEPSCH, Hermann Alexander von."
290497,Berlin,1831,,Berlin wie es ist. Ein Gemälde des Lebens dieser Residenzstadt und ihrer Bewohner ... Mit mehreren Kupfern und dem neuesten Grundrisse von Berlin. [By C. von Kertbeny.],
290959,Ashtead,1897,Art Photo Works,Photo Pictures in East Anglia by Payne Jennings. With descriptive letterpress by A. Berlyn,"BERLYN, Annie."
291258,London,1857,Longman & Co.,"Bermuda, a colony, a fortress, and a prison; or, Eighteen months in the Somers' Islands. With map and illustrations. By a Field Officer [i.e. Ferdinand Whittingham]: Appendix",
292125,Manchester,1813,Printed for private circulation,The Lamentable Vision of the Devoted Hermit (written of a sadly deceived soul and its body). [Translated by William Yates. With woodcuts.] B.L: Supposititious Works. Single Works. Visio Sancti Bernardi,
292922,Paris,1892,,"Autour de la Méditerranée ... Illustrations par A. Chapon, etc","BERNARD, Marius."
293364,London,1845,Henry Colburn,"[Narrative of the Voyages and Services of the Nemesis, from 1840 to 1843; and of the combined naval and military operations in China; comprising a complete account of the colony of Hong Kong, and remarks on the character and habits of the Chinese, from notes of Commander W. H. Hall, R.N., with personal observations, by W. D. Bernard. [With plates and maps.]]","BERNARD, William Dallas."
294149,Berlin,1882,,Schicksale des Grossherzogthums Frankfurt und seiner Truppen. Eine ... Studie aus der Zeit des Rheinbundes. [Edited by Baron A. L. von Ardenne.],"BERNAYS, Guillaume."
295061,Colmar,1888,,Recherches sur l'histoire de la ville de Ribauvillé publiées ... par X. Mossmann,"BERNHARD, Marie Bernard."
295565,London,1826,William Pickering,"[The History of the late Revolution of the Empire of the Great Mogol: together with the most considerable passages for 5 years following in that Empire. To which is added, a letter to the Lord Colbert, touching the extent of Indostan ... (A continuation of the Memoires of Monsieur Bernier, concerning the Empire of the Great Mogol.) Englished out of French (by H. O. [i.e. Henry Oldenburg]). [With a map.]]","BERNIER, François."
296807,Montevideo,1882,,"Album de la República O. del Uruguay compuesto para la Exposicion Continental de Buenos Aires bajo la direction de los señores F. A. Berra, A. de Vedia, y C. M. de Pena. [With maps.]","BERRA, Francisco Antonio."
296877,Delhi,1863,R. Williams,"The Handbook for Delhi. With large additional matter ... on the historic remains and points of modern interest in Delhi, with original contributions from D. B. Smith ... and Lieut. de Kantzow ... With index appendices and two maps ... By Frederick Cooper","BERRESFORD, G."
298748,London,1885,Kegan Paul & Co.,Bertha: a story of love. [In verse. By C. E. Sayle.],
299848,Paris,1883,,"Dictionnaire des sciences anthropologiques ... publié sous la direction de A. Bertillon, Coudereau, A. Hovelacque, Issaurat [and others], etc","BERTILLON, Louis Adolphe."
299967,Arras,1876,,"Étude sur les forestiers et l'établissement du comté héréditaire de Flandre, suivie de quelques documents sur les fêtes des forestiers de Bruges","BERTIN, Jules - and VALLÉE (George)"
300697,London,1876,"Daldy, Isbister & Co.","The Bertram Family. By the author of “Chronicles of the Schönberg-Cotta Family” [i.e. Elizabeth Charles], etc",
300698,London,1882,T. Nelson & Sons,"[The Bertram Family. By the author of “Chronicles of the Schönberg-Cotta Family” [i.e. Elizabeth Charles], etc.]",
301016,London,1899,T. Fisher Unwin,"The Kingdom of the Barotsi, Upper Zambezia ... Translated by A. B. Miall, etc","BERTRAND, Alfred."
301860,London,1814,Robert Baldwin,"An Attempt to Establish a Pure Scientific System of Mineralogy, by the application of the electro-chemical theory and the chemical proportions ... Translated ... by John Black. [Revised by Thomas Thomson.]","Berzelius, Jöns Jakob - friherre"
302649,London,1871,R. Bentley & Son,"Jerusalem, the City of Herod and Saladin","Besant, Walter - Sir"
302650,London,1888,R. Bentley & Son,"[Jerusalem, the City of Herod and Saladin.]","Besant, Walter - Sir"
302651,London,1899,Chatto & Windus,"[Jerusalem, the City of Herod and Saladin.]","Besant, Walter - Sir"
302654,London,1878,Sampson Low & Co.,By Celia's Arbour. A tale of Portsmouth Town. Reprinted from the “Graphic.”,"Besant, Walter - Sir"
302655,London,1876,,"The Case of Mr. Lucraft; and other tales. By the authors of “Ready Money Mortiboy,” etc. [The preface signed: W. B., J. R., i.e. Walter Besant and James Rice.]","Besant, Walter - Sir"
302662,London,1895,Chatto & Windus,"[The Golden Butterfly ... A new edition, etc.]","Besant, Walter - Sir"
302663,London,1878,Chatto & Windus,The Monks of Thelema. A novel. (Reprinted from “The World.”),"Besant, Walter - Sir"
302665,London,1873,,My Little Girl. By the authors of “Ready-Money Mortiboy” ... [i.e. Sir W. Besant and J. Rice.] Second edition,"Besant, Walter - Sir"
302674,York,1880,,"Sweet Nelly, my Heart's Delight ... and: A Bundle of Letters, by Henry James","Besant, Walter - Sir"
302675,London,1881,Chatto & Windus,"The Ten Years' Tenant, and other stories","Besant, Walter - Sir"
302677,London,1879,Chatto & Windus,"'Twas in Trafalgar's Bay, and other stories","Besant, Walter - Sir"
302678,London,1875,,"With Harp and Crown. A novel. By the authors of “Ready-Money Mortiboy” [i.e. Sir W. Besant and J. Rice], etc","Besant, Walter - Sir"
303367,London,1866,pp. 2028. E. Harrison,"Black Bess; or, the Knight of the road. A tale of the good old times. [By Edward Viles.]",
304675,Mitau,1874,,"Geschichte Russlands ... Uebersetzt von Dr. T. Schiemann, etc. (Quellen und Literatur zur Russischen Geschichte von der ältesten Zeit bis 1825.)","BESTUZHEV-RYUMIN, Konstantin Nikolaevich."
305272,London,1865,William Tegg,"[The Beggar's Daughter of Bednall Green, as edited by Dr. Percy. With an original preface. Illustrated with engravings on wood ... from designs by Harvey.]",
307726,London,1873,E. Stanford,Mediæval Geography. An essay in illustration of the Hereford Mappa Mundi [by Ricardus de Bello]. By the Rev. W. L. Bevan ... and the Rev. H. W. Phillott. [With the assistance of the Rev. F. T. Havergal and others.],"BEVAN, William Latham."
308193,"Richmond, Va",1855,J. W. Randolph,"The History of Virginia ... Reprinted from the author's second revised edition, London, 1722. With an introduction by C. Campbell. [With illustrations.]","BEVERLEY, Robert."
309131,Coblenz,1860,,"Urkundenbuch zur Geschichte der, jetzt die preussischen Regierungsbezirke Coblenz und Trier bildenden mittelrheinischen Territorien ... Herausgegeben von H. Beyer. (Bd. 2. Bearbeitet von H. Beyer, L. Eltester und A. Goerz.-Bd. 3. Bearbeitet von L. Eltester und A. Goerz.)","BEYER, Heinrich - Archivrath"
309632,London,1856,"Smith, Elder & Co.","Beyminstre. By the author of “Lena” [i.e. Ellen Wallace], etc",
310689,London,1810,C. Roworth,"Poems, by T. B-g-d, Esq. of the Inner Temple [i.e. Thomas Bedingfeld]","B-G-D, T."
311305,London,1869,N. Trübner & Co.,The Travels of a Hindoo to various parts of Bengal and Upper India. With an introduction by J. Talboys Wheeler. [With a map.],
312195,Paris,1862,,"Deux années au Brésil. Ouvrage illustré de 180 vignettes dessinées par E. Riou, d'après les croquis de M. Biard","BIARD, François."
316590,London,1790,James Evans,"The Galaxy. Consisting of a variety of sacred and other poetry ... (Versions of the Psalms, in twelve large odes.-Version of the Apocalypse, in twenty odes.-Detached versions of the Prophets, etc.) By W. Belcher and others: Bible.Selections. English",
318867,London,1877,Trübner & Co.,Songs of the Semitic [i.e. the Song of Solomon and other parts of the Old Testament] in English verse. By G. E. W: Bible.Old Testament. Selections. English,
320915,Norwich,1800,Stevenson & Matchett,A Sacred Poem in four books. Being a paraphrase on the Book of Job. By the Rev. V. L. Bernard: Bible.Job. English,
327020,London,1716,Jonas Brown,"An English Psalm. Or, a hymn on the late Thanksgiving-Day: being a Protestant version of the Second Psalm. By Mr. Brereton. [In verse.]: Bible.Psalms. Selections. English. Single Psalms",
327096,Chester,1774,T. Crane,"Revolvit cor meum: the common English translation of the Fourty-Fifth Psalm, carefully corrected ... with a paraphrase and notes: whereunto is prefixed some account of the parish of Eccleston near Chester ... by Thomas Crane: Bible.Psalms. Selections. English. Single Psalms",
327880,London,1824,C. & J. Rivington,"A Paraphrase on the Book of Ecclesiastes: first published in the year 1768, and entitled “Choheleth; or, the Royal Preacher, a poem.” [By J. Dennis Furley.] With notes philological, critical, and explanatory. To which are added, the text of the Authorised Version, supplementary notes, corrections and improvements, by Nathaniel Higgins: Bible.Ecclesiastes. English",
327882,London,1856,Thomas Bosworth,"קהלת The Book of Solomon, called Ecclesiastes; or, the Preacher, metrically paraphrased, and accompanied with an analysis of the argument ... By the Rev. Aaron Augustus Morgan ... With illustrations by G. Thomas: Bible.Ecclesiastes. English",
329729,London,1724,Edward Lathbury,A Paraphrase on the Song of the Three Children. In irregular stanzas. [By Mark Le Pla. Edited by Edmund Massey.]: Bible.Song of the Three Children. English,
333512,Hull,1801,Robert Peck,A Poetical Version of the Four Gospels. By Ralph Darling: Bible.Gospels. English,
338820,London,1877,Hatchard & Co.,"Readings for Lent, 1877. The four chapters of Consolation, spoken previously to our Saviour's entry into Gethsemane [John XIV-XVII]. Rendered in a new form (the form of epic poetry) ... By a Son of the Church [i.e. G. M. Musgrave]: Bible.John, Gospel of. Selections. English",
342983,London,1849,A. Hall & Co.,"Scripture Sites and Scenes, from actual survey, in Egypt, Arabia, and Palestine, etc. [By William Henry Bartlett. With plates and maps.]: Bible.Appendix. Miscellaneous",
345795,Gotha,1887,,"Gestern, Heute und in Ewigkeit. Ein Gedicht ... Uebersetzt von Helene v. B","BICKERSTETH, Edward Henry - Bishop of Exeter"
345833,London,1893,Sampson Low & Co.,Japan as we saw it ... With a preface by the Bishop of Exeter. Illustrated,"BICKERSTETH, Mary Jane."
346017,London,1890,Ward & Downey,Handfasted. [A novel.],"BICKLEY, Augustus Charles - and CURRYER (George S.)"
346141,London,1846,E. T. Brain & Co.,"Illustrated London, or, a series of views in the British metropolis and its vicinity, engraved by Albert Henry Payne, from original drawings. The historical, topographical and miscellaneous notices, by W. I. Bicknell","BICKNELL, W. I."
346381,London,1893,H. Stevens & Son,"History of the Expedition under the command of Lewis and Clark ... A new edition, faithfully reprinted from the only authorised edition of 1814, with copious critical commentary, prepared upon examination of unpublished official archives, and ... study of the original manuscript journals and field notebooks of the explorers, together with a new biographical and bibliographical introduction, new maps and other illustrations, and a complete index. By Elliot Coues","BIDDLE, Nicholas - LL.D"
348661,Vigevano,1810,,Memorie istoriche della città e contado di Vigevano. Opera postuma ... Corredata di note e di una raccolta di documenti in gran parte inediti [by B. Biffignandi Bucella],"BIFFIGNANDI BUCCELLA, Pietro Giorgio."
348919,London,1898,Harper & Bros.,"White Man's Africa ... Illustrated by R. C. Woodville, etc","BIGELOW, Poultney."
349213,London,1809,The Author,"The History of Don Francisco de Miranda's Attempt to effect a Revolution in South America. In a series of letters ... Revised, corrected, and enlarged. To which are annexed, sketches of the life of Miranda, and geographical notices of Caraccas","BIGGS, James - Second Lieutenant of Artillery in Miranda's Army"
349420,Boston,1811,T. B. Wait & Co.,"[A Geographical and Historical View of the World: exhibiting a complete delineation of the natural and artificial features of each country, etc.]","BIGLAND, John."
349717,London,1856,xviii. 4. Charles Haselden,Bigotry: a satire in Hudibrastic verse. By the author of “Rudiments of Curvilinear Design” ... and other works [i.e. George Phillips.] (Church Bells). [In verse.],
350203,Paisley,1890,Alexander Gardner,"Seven Essays on Christian Greece ... Translated by John, Marquess of Bute, K.T. Reprinted from the “Scottish Review.”","BIKELAS, Demetrios."
350965,Rhodes,1881,,"L'Île de Rhodes, etc. [With a map.]","BILIOTTI, Édouard - and COTTRET ( ) Abbé"
351316,Kopenhagen,1852,,"S. Bille's Bericht über die Reise der Corvette Galathea um die Welt in den Jahren 1845, 46 und 47. Aus dem Dänischen übersetzt, und theilweise bearbeitet von W. v. Rosen","BILLE, Steen Andersen."
351415,Lyon,1899,,"Beaujolais-Forez-Dombes. Thizy et les environs. Armorial et notes généalogiques. Ouvrage orné de 380 gravures et rédigé d'après les notes éparses laissées par Étienne Mulsant, etc","BILLET, H."
351651,Stuttgart,1873,,Colmar und die Schreckenszeit. Ein Tagebuch [by S. Billing] und Aktenstücke aus den Revolutionsjahren 1789-1796. Aus ungedruckten Quellen gesammelt und herausgegeben von Julius Rathgeber,"BILLING, Sigismund."
351652,Colmar,1891,,"Sigismund Billings kleine Chronik der Stadt Colmar, herausgegeben von Andreas Waltz. Mit mehreren Abbildungen","BILLING, Sigismund."
